Result, First, Second
1, 50, 152
1, 144, 20
1, 183, 139
1, 114, 84
1, 68, 34
1, 183, 72
-1, 86, 65
-1, 3, 71
-1, 33, 173
1, 2, 84
1, 19, 95
1, 13, 24
-1, 113, 131
-1, 8, 192
0, 8, 192
0, 108, 29
1, 181, 79
1, 94, 115
1, 45, 7
1, 92, 99
0, 108, 29
0, 8, 192
0, 94, 115
0, 45, 7
0, 181, 79
0, 92, 99
0, 132, 139
0, 167, 93
-1, 86, 163
-1, 27, 20
-1, 152, 97
-1, 31, 65
-1, 195, 133
-1, 26, 92
-1, 82, 25
-1, 163, 6
0, 21, 23
-1, 148, 147
-1, 57, 41
0, 21, 23
0, 148, 147
0, 57, 41
0, 85, 86
0, 21, 23
0, 57, 41
0, 148, 147
0, 85, 86
0, 80, 151
0, 112, 90
0, 11, 66
0, 69, 66
1, 18, 125
1, 49, 157
1, 111, 147
1, 122, 113
1, 3, 152
1, 3, 109
1, 134, 58
1, 167, 187
0, 64, 182
0, 60, 105
-1, 100, 164
0, 60, 105
0, 100, 164
0, 93, 126
1, 154, 6
-1, 126, 118
0, 96, 87
0, 193, 131
1, 125, 168
1, 28, 132
1, 35, 185
-1, 23, 26
1, 37, 11
-1, 50, 32
1, 132, 128
-1, 46, 20
-1, 8, 129
0, 195, 62
1, 85, 123
1, 56, 144
-1, 118, 172
1, 152, 107
1, 149, 130
-1, 41, 104
1, 150, 161
-1, 190, 64
1, 10, 88
1, 50, 95
1, 131, 79
1, 38, 110
1, 42, 179
-1, 97, 122
-1, 116, 176
-1, 142, 177
1, 15, 5
-1, 4, 102
1, 101, 42
1, 74, 161
1, 151, 132
1, 177, 118
-1, 185, 73
-1, 93, 129
-1, 73, 193
-1, 2, 174
-1, 16, 157
0, 48, 190
1, 94, 97
1, 77, 124
-1, 122, 116
1, 48, 116
-1, 115, 155
0, 35, 18
0, 128, 190
0, 14, 30
0, 61, 173
-1, 63, 75
1, 153, 167
-1, 139, 103
-1, 81, 154
-1, 110, 193
-1, 175, 176
1, 93, 73
1, 96, 103
1, 140, 80
0, 143, 38
-1, 80, 49
-1, 8, 195
-1, 81, 107
-1, 133, 159
-1, 171, 149
1, 62, 81
1, 118, 146
0, 36, 42
1, 50, 122
0, 26, 132
-1, 62, 142
1, 39, 73
0, 121, 85
1, 24, 123
-1, 46, 85
-1, 8, 84
1, 107, 110
1, 24, 31
1, 51, 124
1, 134, 145
1, 171, 187
0, 82, 89
-1, 74, 56
0, 69, 108
0, 195, 84
1, 106, 25
1, 54, 79
0, 53, 120
0, 85, 95
1, 67, 191
-1, 1, 124
1, 108, 135
1, 10, 160
1, 84, 55
0, 10, 180
-1, 99, 22
0, 88, 115
1, 89, 122
0, 47, 121
1, 180, 123
1, 177, 100
-1, 157, 91
-1, 92, 49
1, 124, 31
1, 24, 58
1, 175, 112
-1, 92, 40
1, 194, 93
-1, 115, 28
1, 196, 99
-1, 74, 91
1, 76, 86
0, 130, 39
0, 131, 190
-1, 84, 151
-1, 46, 165
1, 165, 93
-1, 88, 174
1, 106, 139
-1, 147, 131
-1, 41, 26
1, 171, 97
0, 173, 68
0, 53, 30
-1, 50, 48
1, 140, 92
0, 29, 195
-1, 185, 61
-1, 1, 25
1, 66, 45
-1, 36, 90
0, 105, 153
-1, 169, 173
0, 51, 185
1, 51, 138
1, 39, 1
1, 127, 144
1, 183, 63
0, 176, 125
-1, 49, 177
1, 143, 28
-1, 24, 159
0, 83, 115
0, 115, 34
0, 184, 161
1, 159, 169
0, 86, 68
-1, 145, 170
1, 5, 50
1, 26, 34
1, 2, 65
1, 111, 133
1, 6, 113
-1, 98, 129
-1, 99, 15
0, 43, 150
1, 60, 44
1, 124, 57
-1, 74, 66
0, 130, 33
1, 153, 36
0, 13, 86
-1, 9, 69
-1, 14, 170
1, 39, 82
-1, 160, 96
1, 154, 156
1, 127, 65
0, 36, 148
0, 148, 191
-1, 192, 5
0, 39, 38
-1, 36, 69
1, 26, 11
1, 104, 107
-1, 28, 41
0, 5, 24
1, 101, 42
1, 28, 141
1, 93, 88
-1, 113, 178
0, 54, 33
1, 174, 138
-1, 15, 77
-1, 174, 138
0, 100, 67
0, 178, 11
1, 121, 186
0, 29, 135
-1, 57, 154
1, 37, 42
-1, 42, 14
-1, 67, 2
-1, 34, 76
1, 174, 16
1, 37, 36
0, 29, 193
-1, 126, 142
-1, 115, 154
-1, 186, 146
0, 78, 142
0, 13, 182
0, 125, 143
-1, 31, 81
0, 105, 70
0, 125, 146
1, 97, 123
1, 2, 186
-1, 78, 132
0, 92, 110
-1, 111, 43
0, 129, 151
-1, 152, 159
-1, 69, 89
-1, 6, 20
1, 169, 46
0, 125, 146
1, 138, 81
1, 63, 31
1, 180, 50
0, 43, 104
-1, 138, 134
-1, 139, 2
1, 87, 121
1, 164, 117
-1, 18, 103
1, 92, 138
0, 39, 54
1, 26, 6
1, 68, 67
0, 109, 186
1, 150, 73
-1, 50, 103
-1, 141, 103
1, 15, 168
0, 121, 172
-1, 92, 91
1, 165, 152
1, 162, 17
0, 193, 153
-1, 57, 142
1, 93, 18
-1, 191, 37
-1, 168, 3
-1, 123, 133
-1, 124, 27
1, 113, 160
-1, 21, 137
1, 147, 148
0, 98, 77
0, 176, 26
1, 80, 124
0, 173, 84
0, 37, 69
0, 192, 31
0, 143, 57
0, 29, 17
0, 6, 74
0, 64, 155
1, 74, 78
-1, 8, 172
1, 36, 69
-1, 25, 121
1, 190, 175
1, 65, 82
1, 21, 115
-1, 193, 56
-1, 136, 39
1, 57, 149
1, 93, 98
1, 51, 133
1, 41, 75
0, 176, 19
0, 175, 173
0, 109, 101
-1, 59, 138
-1, 73, 150
1, 134, 184
